"","hlev2g","wksuem","agegp","efmjsi","efmjie"
"502",1,0,15,2,2
"503",3,0,8,2,1
"504",2,0,11,2,2
"505",4,0,13,2,1
"506",4,0,13,2,2
"507",2,0,6,2,2
"508",3,0,14,2,1
"509",3,0,10,2,2
"510",3,0,9,2,1
"511",6,96,3,2,2
"512",6,96,3,2,2
"513",4,0,7,2,1
"514",3,0,7,2,1
"515",4,0,7,2,1
"516",3,0,14,2,1
"517",2,0,13,2,2
"518",3,0,9,2,2
"519",2,96,16,4,1
"520",1,96,16,4,2
"521",1,96,16,4,1
"522",3,0,11,5,1
"523",4,0,9,5,2
"524",6,96,3,5,2
"525",6,96,2,5,2
"526",4,0,13,2,1
"527",4,0,12,2,2
"528",2,12,4,2,2
"529",6,96,3,2,2
"530",9,8,8,4,1
"531",2,96,16,6,1
"532",2,96,16,6,2
"533",2,96,16,4,1
"534",2,96,16,4,2
"535",1,0,12,2,1
"536",3,0,12,2,2
"537",4,0,14,6,1
"538",4,0,15,2,1
"539",4,0,15,2,2
"540",3,0,9,2,2
"541",3,0,9,2,2
"542",2,0,5,2,2
"543",1,0,5,2,2
"544",6,96,3,2,2
"545",4,4,8,2,1
"546",4,4,7,2,1
"547",3,0,14,2,2
"548",3,0,13,2,1
"549",3,0,10,2,2
"550",3,0,11,2,1
"551",6,96,2,2,2
"552",3,20,15,4,1
"553",1,96,16,2,2
"554",2,0,12,2,1
"555",4,0,9,2,1
"556",2,0,9,2,2
"557",1,0,4,2,2
"558",6,96,3,2,2
"559",3,0,9,3,1
"560",4,96,16,4,1
"561",3,96,16,2,2
"562",3,0,16,2,1
"563",3,0,12,2,1
"564",2,26,6,2,2
"565",2,0,6,2,1
"566",6,96,1,2,2
"567",4,0,13,2,2
"568",4,0,13,2,1
"569",1,0,12,2,1
"570",1,0,10,2,2
"571",3,0,9,2,1
"572",2,8,8,2,2
"573",4,0,8,2,1
"574",4,0,7,2,2
"575",2,0,8,2,2
"576",4,0,7,2,1
"577",1,0,11,4,1
"578",1,0,7,4,1
"579",2,0,6,4,2
"580",6,96,2,4,2
"581",6,96,1,4,2
"582",3,0,13,2,2
"583",2,0,12,2,1
"584",2,2,13,2,2
"585",3,0,14,2,1
"586",3,0,11,2,1
"587",1,26,13,2,1
"588",2,0,15,2,1
"589",2,0,15,2,2
"590",4,0,9,2,1
"591",3,0,10,2,2
"592",6,96,2,2,2
"593",6,96,1,2,2
"594",3,0,7,2,1
"595",3,0,7,2,1
"596",2,0,8,4,1
"597",6,96,2,4,2
"598",6,96,1,4,2
"599",1,96,16,4,1
"600",3,0,10,2,1
"601",1,52,4,2,2
"602",1,52,5,2,2
"603",2,0,11,2,2
"604",2,0,7,2,1
"605",2,0,13,2,1
"606",2,0,14,2,2
"607",1,0,8,2,1
"608",3,0,13,3,2
"609",2,0,13,3,1
"610",3,0,9,2,1
"611",2,12,6,2,2
"612",3,8,13,2,1
"613",1,0,9,2,2
"614",2,0,9,2,1
"615",1,0,4,2,2
"616",6,96,3,2,2
"617",3,0,15,6,1
"618",3,0,12,2,2
"619",3,0,11,2,1
"620",1,96,16,4,1
"621",1,0,15,4,2
"622",2,96,16,2,1
"623",3,8,13,2,2
"624",3,0,11,2,1
"625",2,20,6,2,2
"626",3,8,7,2,2
"627",1,0,6,2,1
"628",3,0,11,2,1
"629",3,0,11,2,2
"630",1,0,4,2,2
"631",2,0,6,2,2
"632",2,0,13,2,2
"633",3,0,13,2,1
"634",1,96,16,4,1
"635",3,0,12,2,1
"636",3,0,11,2,2
"637",3,0,11,2,1
"638",6,96,3,2,2
"639",6,96,3,2,2
"640",4,0,7,2,1
"641",3,12,6,2,1
"642",3,3,6,2,2
"643",2,0,9,4,1
"644",1,0,4,4,2
"645",6,96,3,4,2
"646",6,96,2,4,2
"647",2,0,5,4,2
"648",3,0,11,2,1
"649",3,0,11,2,2
"650",2,0,6,2,2
"651",3,0,6,2,2
"652",3,0,14,3,1
"653",4,0,9,2,1
"654",3,0,9,2,2
"655",1,0,16,4,2
"656",3,0,14,4,1
"657",1,0,16,4,1
"658",1,32,12,2,2
"659",4,0,11,2,1
"660",1,96,16,4,1
"661",2,0,13,2,2
"662",2,0,14,2,1
"663",4,0,16,2,1
"664",3,0,14,2,2
"665",3,34,13,2,1
"666",1,0,6,2,2
"667",2,0,12,2,1
"668",4,0,10,2,1
"669",9,2,8,2,2
"670",6,96,1,2,2
"671",6,96,1,2,2
"672",3,0,8,2,2
"673",4,0,11,2,1
"674",4,0,8,2,2
"675",3,0,8,2,1
"676",3,0,10,2,2
"677",3,0,11,2,1
"678",1,0,4,2,2
"679",6,96,3,2,2
"680",6,96,3,2,2
"681",4,0,10,2,1
"682",1,0,4,2,2
"683",6,96,3,2,2
"684",6,96,3,2,2
"685",1,96,16,4,2
"686",2,96,16,4,1
"687",4,0,12,2,1
"688",4,0,8,3,1
"689",4,0,8,3,2
"690",6,96,1,3,2
"691",6,96,1,3,2
"692",6,96,1,3,2
"693",2,96,16,4,1
"694",1,0,11,4,2
"695",3,52,10,4,1
"696",2,0,15,6,2
"697",2,0,13,6,1
"698",3,0,15,4,1
"699",4,0,13,2,1
"700",4,0,13,2,2
"701",2,5,6,2,2
"702",2,0,6,2,2
"703",1,0,4,2,2
"704",4,96,16,2,2
"705",3,12,11,2,1
"706",3,0,16,2,1
"707",3,0,10,3,1
"708",4,0,10,3,2
"709",1,0,4,3,2
"710",1,0,4,3,2
"711",2,96,16,4,1
"712",1,96,16,4,2
"713",4,12,11,2,2
"714",3,0,11,2,1
"715",6,96,3,2,2
"716",1,0,4,4,1
"717",2,52,5,2,2
"718",3,0,9,2,1
"719",2,96,16,5,1
"720",2,36,13,2,2
"721",2,0,12,2,1
"722",3,12,7,2,2
"723",3,0,6,2,2
"724",1,0,13,2,2
"725",2,0,13,2,1
"726",2,2,5,2,2
"727",2,0,14,6,1
"728",6,96,2,6,2
"729",6,96,1,6,2
"730",2,52,15,4,2
"731",2,96,16,4,1
"732",3,0,9,2,1
"733",3,0,8,2,1
"734",6,96,3,2,2
"735",6,96,2,2,2
"736",6,96,1,2,2
"737",3,7,9,2,1
"738",1,0,4,2,2
"739",6,96,3,2,2
"740",4,0,10,2,1
"741",4,10,9,2,2
"742",6,96,3,2,2
"743",3,4,13,2,1
"744",4,0,13,2,1
"745",4,0,12,2,2
"746",3,0,16,2,1
"747",3,0,13,2,2
"748",3,0,13,2,1
"749",3,96,16,6,1
"750",1,0,16,4,1
"751",2,0,15,4,2
"752",3,96,16,4,1
"753",2,96,16,4,2
"754",4,96,16,6,1
"755",3,96,16,6,2
"756",3,96,16,6,2
